assembly_accession,bioproject_accession,biosample_accession,cell_shape,class,common_name,completion_date,contigs,culture_collection,date_inserted,date_modified,family,gc_content,genbank_accessions,genome_id,genome_length,genome_name,genome_status,genus,gram_stain,habitat,kingdom,motility,order,owner,oxygen_requirement,patric_cds,phylum,plasmids,public,publication,refseq_cds,sequencing_centers,species,strain,taxon_id,temperature_range,superkingdom,cds,sequencing_status,taxon_lineage_ids,comments,taxon_lineage_names,_version_,contig_n50,hypothetical_cds_ratio,contig_l50,rrna,partial_cds_ratio,lab_host,trna,chromosomes,host_name,cds_ratio,partial_cds,plfam_cds_ratio,disease,checkm_completeness,checkm_contamination,coarse_consistency,fine_consistency,genome_quality,hypothetical_cds,mlst,p2_genome_id,plfam_cds,genome_quality_flags,assembly_method,ncbi_project_id,organism_name,refseq_accessions,sequencing_depth,sequencing_platform,serovar,optimal_temperature,refseq_project_id,sporulation,cgmlst_id,cgmlst_hc0,cgmlst_hc2,cgmlst_hc5,cgmlst_hc10,cgmlst_hc20,cgmlst_hc50,cgmlst_hc100,collection_year,collection_date,geographic_location,host_common_name,host_group,host_health,isolation_country,isolation_source,host_scientific_name,geographic_group,pathovar,additional_metadata,type_strain,isolation_comments,other_clinical,passage,other_typing,sra_accession,state_province,antimicrobial_resistance_evidence,body_sample_site,antimicrobial_resistance,host_age,host_gender,other_environmental,salinity,reference_genome,longitude,latitude,isolation_site
GCA_011090325.1,PRJNA408270,SAMN07682351,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2020-03-09T00:00:00Z,115,,2020-04-12T00:00:55.573Z,2020-04-12T00:00:55.573Z,Enterobacteriaceae,57.25355,NXBK00000000,72407.1423,5529166,Klebsiella pneumoniae subsp. pneumoniae strain H1119,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5579.0,Pseudomonadota,0.0,True,,5464.0,REQUIMTE-UCIBIO. Faculdade de Farmacia da Universidade do Porto.,Klebsiella pneumoniae,H1119,72407,,Bacteria,5579,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['MDR Klebsiella pneumoniae subsp. pneumoniae ST14 and ST15'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331593441300,162787.0,0.13909303,11.0,10.0,0.011292347,,82.0,0.0,"Human, Homo sapiens",1.0090129,63.0,0.9550099,,99.78,0.11,95.54,94.15,Good,776.0,MLST.klebsiella.15,,5328.0,,SPAdes v. 3.9.0,,,,102x,Illumina MiSeq,,,,,72407.1423,13834,13834,13834,13834,13834,213,213,2010.0,2010,Portugal: Oporto,Human,Human,,Portugal,urine,Homo sapiens,Europe,,['collected_by:UCIBIO-REQUIMTE'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_013504725.1,PRJNA408270,SAMN07682274,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2020-07-23T00:00:00Z,75,,2020-08-21T21:56:57.471Z,2020-08-21T21:56:57.471Z,Enterobacteriaceae,57.198856,NXCA00000000,72407.1445,5576295,Klebsiella pneumoniae subsp. pneumoniae strain H1122,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5660.0,Pseudomonadota,0.0,True,,5529.0,REQUIMTE-UCIBIO. Faculdade de Farmacia da Universidade do Porto.,Klebsiella pneumoniae,H1122,72407,,Bacteria,5660,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['MDR Klebsiella pneumoniae subsp. pneumoniae ST14 and ST15'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331597635600,399091.0,0.27349824,5.0,10.0,0.01254417,,82.0,0.0,"Human, Homo sapiens",1.0150108,71.0,0.9485866,,99.78,0.11,95.42,94.15,Good,865.0,MLST.klebsiella.14,,5369.0,,SPAdes v. 3.9.0,,,,105x,Illumina MiSeq,,,,,72407.1445,13835,13835,13835,13835,13835,13835,2182,2010.0,2010,Portugal: Oporto,Human,Human,,Portugal,urine,Homo sapiens,Europe,,['collected_by:UCIBIO-REQUIMTE'],,,['host_health_state:diseased'],,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_013620865.1,PRJNA408270,SAMN07682276,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2020-07-24T00:00:00Z,78,,2020-08-22T01:49:38.766Z,2020-08-22T01:49:38.766Z,Enterobacteriaceae,57.319775,NXBO00000000,72407.1447,5590357,Klebsiella pneumoniae subsp. pneumoniae strain H49,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5681.0,Pseudomonadota,0.0,True,,5560.0,REQUIMTE-UCIBIO. Faculdade de Farmacia da Universidade do Porto.,Klebsiella pneumoniae,H49,72407,,Bacteria,5681,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['MDR Klebsiella pneumoniae subsp. pneumoniae ST14 and ST15'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331597635600,350404.0,0.27618378,6.0,7.0,0.011441648,,84.0,0.0,"Human, Homo sapiens",1.0162141,65.0,0.9544094,,99.78,0.0,95.36,94.03,Good,887.0,MLST.klebsiella.14,,5422.0,,SPAdes v. 3.9.0,,,,104x,Illumina MiSeq,,,,,72407.1447,13836,13836,13836,13836,13836,277,55,2003.0,2003,Portugal: Oporto,Human,Human,,Portugal,urine,Homo sapiens,Europe,,['collected_by:UCIBIO-REQUIMTE'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_013620875.1,PRJNA408270,SAMN07682353,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2020-07-24T00:00:00Z,115,,2020-08-22T01:56:20.494Z,2020-08-22T01:56:20.494Z,Enterobacteriaceae,56.62405,NXBM00000000,72407.1448,5734620,Klebsiella pneumoniae subsp. pneumoniae strain K47,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5898.0,Pseudomonadota,0.0,True,,5722.0,REQUIMTE-UCIBIO. Faculdade de Farmacia da Universidade do Porto.,Klebsiella pneumoniae,K47,72407,,Bacteria,5898,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['MDR Klebsiella pneumoniae subsp. pneumoniae ST14 and ST15'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331598684200,204524.0,0.30434045,9.0,10.0,0.01356392,,84.0,0.0,"Human, Homo sapiens",1.0284901,80.0,0.9448966,,99.78,0.0,95.42,93.67,Good,1055.0,MLST.klebsiella.15,,5573.0,,SPAdes v. 3.9.0,,,,106x,Illumina MiSeq,,,,,72407.1448,13837,13837,13837,13837,13837,13837,13837,2012.0,2012,Portugal: Oporto,Human,Human,,Portugal,urine,Homo sapiens,Europe,,['collected_by:UCIBIO-REQUIMTE'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_013620895.1,PRJNA408270,SAMN07682354,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2020-07-24T00:00:00Z,90,,2020-08-22T01:50:08.530Z,2020-08-22T01:50:08.530Z,Enterobacteriaceae,57.165813,NXBN00000000,72407.1449,5453399,Klebsiella pneumoniae subsp. pneumoniae strain C1694,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5509.0,Pseudomonadota,0.0,True,,5390.0,REQUIMTE-UCIBIO. Faculdade de Farmacia da Universidade do Porto.,Klebsiella pneumoniae,C1694,72407,,Bacteria,5509,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['MDR Klebsiella pneumoniae subsp. pneumoniae ST14 and ST15'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331598684200,203303.0,0.26756218,10.0,11.0,0.013432565,,82.0,0.0,"Human, Homo sapiens",1.0101956,74.0,0.95225996,,99.78,0.0,95.3,93.85,Good,776.0,MLST.klebsiella.15,,5246.0,,SPAdes v. 3.9.0,,,,101x,Illumina MiSeq,,,,,72407.1449,13838,13838,13838,13838,13703,326,213,2012.0,2012,Portugal: Oporto,Human,Human,,Portugal,urine,Homo sapiens,Europe,,['collected_by:UCIBIO-REQUIMTE'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_013620905.1,PRJNA408270,SAMN07682348,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2020-07-24T00:00:00Z,109,,2020-08-22T01:50:03.431Z,2020-08-22T01:50:03.431Z,Enterobacteriaceae,56.952133,NXBI00000000,72407.1450,5745985,Klebsiella pneumoniae subsp. pneumoniae strain 44,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5944.0,Pseudomonadota,0.0,True,,5780.0,REQUIMTE-UCIBIO. Faculdade de Farmacia da Universidade do Porto.,Klebsiella pneumoniae,44,72407,,Bacteria,5944,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['MDR Klebsiella pneumoniae subsp. pneumoniae ST14 and ST15'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331599732700,210873.0,0.29088157,9.0,10.0,0.013122477,,85.0,0.0,"Human, Homo sapiens",1.0344615,78.0,0.9461642,,99.78,0.0,95.36,93.61,Good,1004.0,MLST.klebsiella.15,,5624.0,,SPAdes v. 3.9.0,,,,106x,Illumina MiSeq,,,,,72407.1450,13839,13839,13839,13839,4078,213,213,2013.0,2013,Portugal: Oporto,Human,Human,,Portugal,urine,Homo sapiens,Europe,,['collected_by:UCIBIO-REQUIMTE'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_013620925.1,PRJNA408270,SAMN07682350,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2020-07-24T00:00:00Z,132,,2020-08-22T01:56:34.698Z,2020-08-22T01:56:34.698Z,Enterobacteriaceae,57.114117,NXBJ00000000,72407.1451,5649365,Klebsiella pneumoniae subsp. pneumoniae strain C1693,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5787.0,Pseudomonadota,0.0,True,,5651.0,REQUIMTE-UCIBIO. Faculdade de Farmacia da Universidade do Porto.,Klebsiella pneumoniae,C1693,72407,,Bacteria,5787,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['MDR Klebsiella pneumoniae subsp. pneumoniae ST14 and ST15'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331600781300,184651.0,0.2809746,11.0,16.0,0.01244168,,85.0,0.0,"Human, Homo sapiens",1.0243629,72.0,0.9495421,,99.78,0.0,95.36,93.97,Good,908.0,MLST.klebsiella.15,,5495.0,,SPAdes v. 3.9.0,,,,105x,Illumina MiSeq,,,,,72407.1451,13840,13840,13840,13839,4078,213,213,2012.0,2012,Portugal: Oporto,Human,Human,,Portugal,urine,Homo sapiens,Europe,,['collected_by:UCIBIO-REQUIMTE'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_013521185.1,PRJNA408270,SAMN07682349,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2020-07-23T00:00:00Z,130,,2020-09-05T19:07:19.598Z,2020-09-05T19:07:19.598Z,Enterobacteriaceae,56.4598,NXBZ00000000,72407.1455,6050103,Klebsiella pneumoniae subsp. pneumoniae strain C1686,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,6338.0,Pseudomonadota,0.0,True,,6100.0,REQUIMTE-UCIBIO. Faculdade de Farmacia da Universidade do Porto.,Klebsiella pneumoniae,C1686,72407,,Bacteria,6338,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['MDR Klebsiella pneumoniae subsp. pneumoniae ST14 and ST15'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331601830000,210874.0,0.31429473,10.0,10.0,0.012937835,,85.0,0.0,"Human, Homo sapiens",1.0475855,82.0,0.93893975,,99.67,0.0,95.42,93.49,Good,1233.0,MLST.klebsiella.15,,5951.0,,SPAdes v. 3.9.0,,,,112x,Illumina MiSeq,,,,,72407.1455,13842,13842,13842,13842,4078,213,213,2012.0,2012,Portugal: Oporto,Human,Human,,Portugal,urine,Homo sapiens,Europe,,['collected_by:UCIBIO-REQUIMTE'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_019220045.1,PRJNA744647,SAMN20114087,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2021-07-14T00:00:00Z,85,,2021-08-01T17:50:23.014Z,2021-08-01T17:50:23.014Z,Enterobacteriaceae,57.298782,JAHUYA000000000,72407.1614,5513159,Klebsiella pneumoniae subsp. pneumoniae strain WRC10_CMC309,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5453.0,Pseudomonadota,0.0,True,,5249.0,Christian Medical College,Klebsiella pneumoniae,WRC10_CMC309,72407,,Bacteria,5453,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['Carbapenem resistant Klebsiella pneumoniae_WRC10_CMC309'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331633287200,227658.0,0.2583899,7.0,2.0,0.0047680177,,78.0,0.0,Homo sapiens,0.9890881,26.0,0.96332294,,99.78,0.0,95.42,94.09,Good,723.0,MLST.klebsiella.2096,,5253.0,,UNICYCLER v. V.0.4.8,,,,128.13x,Illumina MiSeq,,,,,72407.1614,8837,8837,8837,8837,8837,55,55,2018.0,2018,India,Human,Human,Pneumoniae,India,endotracheal aspirate,Homo sapiens,Asia,,['collected_by:Christian Medical College'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_019220005.1,PRJNA744646,SAMN20114086,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2021-07-14T00:00:00Z,86,,2021-08-01T17:50:21.368Z,2021-08-01T17:50:21.368Z,Enterobacteriaceae,57.291317,JAHUXZ000000000,72407.1615,5515244,Klebsiella pneumoniae subsp. pneumoniae strain WRC09_CMC309P,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5444.0,Pseudomonadota,0.0,True,,5250.0,Christian Medical College,Klebsiella pneumoniae,WRC09_CMC309P,72407,,Bacteria,5444,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['Carbapenem resistant Klebsiella pneumoniae_WRC09_CMC309P'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331633287200,227658.0,0.25698015,7.0,2.0,0.0047759,,77.0,0.0,Homo sapiens,0.98708236,26.0,0.9647318,,99.78,0.0,95.42,94.09,Good,713.0,MLST.klebsiella.2096,,5252.0,,UNICYCLER v. V.0.4.8,,,,197.0x,Illumina MiSeq,,,,,72407.1615,8838,8837,8837,8837,8837,55,55,2018.0,2018,India,Human,Human,Pneumoniae,India,endotracheal aspirate,Homo sapiens,Asia,,['collected_by:Christian Medical College'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_019219965.1,PRJNA744645,SAMN20114085,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2021-07-14T00:00:00Z,116,,2021-08-01T17:53:55.743Z,2021-08-01T17:53:55.743Z,Enterobacteriaceae,56.71815,JAHUXY000000000,72407.1617,5856238,Klebsiella pneumoniae subsp. pneumoniae strain WRC08_CMC432M,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5909.0,Pseudomonadota,0.0,True,,5646.0,Christian Medical College,Klebsiella pneumoniae,WRC08_CMC432M,72407,,Bacteria,5909,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['Carbapenem resistant Klebsiella pneumoniae_WRC08_CMC432M'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331635384300,349750.0,0.2885429,6.0,2.0,0.005753935,,77.0,0.0,Homo sapiens,1.0090095,34.0,0.9522762,,99.78,0.0,95.36,93.67,Good,979.0,MLST.klebsiella.14,,5627.0,,UNICYCLER v. V.0.4.8,,,,161.0x,Illumina MiSeq,,,,,72407.1617,8840,8840,8840,8839,8839,62,55,2018.0,2018,India,Human,Human,Pneumoniae,India,endotracheal aspirate,Homo sapiens,Asia,,['collected_by:Christian Medical College'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_019219975.1,PRJNA744644,SAMN20114081,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2021-07-14T00:00:00Z,118,,2021-08-01T17:53:50.848Z,2021-08-01T17:53:50.848Z,Enterobacteriaceae,56.718914,JAHUXX000000000,72407.1619,5855560,Klebsiella pneumoniae subsp. pneumoniae strain WRC07_CMC432P,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5916.0,Pseudomonadota,0.0,True,,5646.0,Christian Medical College,Klebsiella pneumoniae,WRC07_CMC432P,72407,,Bacteria,5916,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['Carbapenem resistant Klebsiella pneumoniae_WRC07_CMC432P'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331636433000,349750.0,0.2898918,6.0,2.0,0.0057471264,,78.0,0.0,Homo sapiens,1.0103219,34.0,0.9516565,,99.78,0.0,95.36,93.67,Good,989.0,MLST.klebsiella.14,,5630.0,,UNICYCLER v. V.0.4.8,,,,207.0x,Illumina MiSeq,,,,,72407.1619,10941,10941,10941,10941,10941,62,55,2018.0,2018,India,Human,Human,Pneumoniae,India,endotracheal aspirate,Homo sapiens,Asia,,['collected_by:Christian Medical College'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_019220315.1,PRJNA744687,SAMN20114563,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2021-07-14T00:00:00Z,85,,2021-08-01T17:50:27.161Z,2021-08-01T17:50:27.161Z,Enterobacteriaceae,57.29187,JAHUYQ000000000,72407.1622,5514924,Klebsiella pneumoniae subsp. pneumoniae strain WRC29_CMC309MPC,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5450.0,Pseudomonadota,0.0,True,,5252.0,Christian Medical College,Klebsiella pneumoniae,WRC29_CMC309MPC,72407,,Bacteria,5450,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['Carbapenem resistant Klebsiella pneumoniae_WRC29_CMC309MPC'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331638530000,227658.0,0.25779817,7.0,2.0,0.0045871558,,77.0,0.0,Homo sapiens,0.9882276,25.0,0.96385324,,99.78,0.0,95.42,94.09,Good,720.0,MLST.klebsiella.2096,,5253.0,,UNICYCLER v. V.0.4.8,,,,114.0x,Illumina MiSeq,,,,,72407.1622,8844,8837,8837,8837,8837,55,55,2018.0,2018,India,Human,Human,Pneumoniae,India,endotracheal aspirate,Homo sapiens,Asia,,['collected_by:Christian Medical College'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_019220085.1,PRJNA744659,SAMN20114185,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2021-07-14T00:00:00Z,161,,2021-08-01T17:53:49.066Z,2021-08-01T17:53:49.066Z,Enterobacteriaceae,57.016296,JAHUYG000000000,72407.1624,5827746,Klebsiella pneumoniae subsp. pneumoniae strain WRC17_CMC307,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5905.0,Pseudomonadota,0.0,True,,5686.0,Christian Medical College,Klebsiella pneumoniae,WRC17_CMC307,72407,,Bacteria,5905,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['Carbapenem resistant Klebsiella pneumoniae_WRC17_CMC307'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331639578600,202667.0,0.28281116,10.0,2.0,0.00508044,,78.0,0.0,Homo sapiens,1.0132562,30.0,0.95783234,,99.78,0.0,95.42,94.03,Good,951.0,MLST.klebsiella.14,,5656.0,,UNICYCLER v. V.0.4.8,,,,0.7x,Illumina MiSeq,,,,,72407.1624,10942,10942,10942,10942,10942,62,55,2018.0,2018,India,Human,Human,Pneumoniae,India,endotracheal aspirate,Homo sapiens,Asia,,['collected_by:Christian Medical College'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_019220205.1,PRJNA744661,SAMN20114195,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae,2021-07-14T00:00:00Z,162,,2021-08-01T17:53:57.549Z,2021-08-01T17:53:57.549Z,Enterobacteriaceae,57.016155,JAHUYH000000000,72407.1626,5827892,Klebsiella pneumoniae subsp. pneumoniae strain WRC18_CMC307,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5906.0,Pseudomonadota,0.0,True,,5686.0,Christian Medical College,Klebsiella pneumoniae,WRC18_CMC307,72407,,Bacteria,5906,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407']",['Carbapenem resistant Klebsiella pneumoniae_WRC18_CMC307'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae']",1851322331640627200,202667.0,0.2827633,10.0,2.0,0.00507958,,78.0,0.0,Homo sapiens,1.0134025,30.0,0.9581781,,99.78,0.0,95.42,94.03,Good,950.0,MLST.klebsiella.14,,5659.0,,UNICYCLER v. V.0.4.8,,,,179.0x,Illumina MiSeq,,,,,72407.1626,8847,8847,8847,8847,8847,62,55,2018.0,2018,India,Human,Human,Pneumoniae,India,endotracheal aspirate,Homo sapiens,Asia,,['collected_by:Christian Medical College'],,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
